Age,Income,LoanAmount,CreditScore,MonthsEmployed,NumCreditLines,InterestRate,LoanTerm,DTIRatio,Education,EmploymentType,MaritalStatus,HasMortgage,HasDependents,LoanPurpose,HasCoSigner,Default
45.0,47231.23217947903,229078.01351094572,347.81186908432556,108.70800437142793,3.0,3.5213750667593846,60.0,0.8399999994644896,Bachelor's,Full-time,Single,Yes,No,Other,No,0
51.4,29899.552971607438,243934.93866441186,484.63244571574785,17.136938306767714,3.0,23.769548187900696,47.99999999720603,0.3100000000116415,PhD,Full-time,Divorced,Yes,No,Auto,No,1
53.0,47272.15255575957,228416.54050507967,761.6895474723283,18.502471876214834,3.0,14.026067224625981,60.0,0.3299999999417923,Bachelor's,Unemployed,Single,Yes,No,Auto,No,1
21.0,91086.72639134031,246216.03336399794,547.1127882148402,14.331460774022029,1.0,9.757504084417015,60.0,0.5799999998137355,Bachelor's,Part-time,Single,Yes,No,Business,No,1
55.199999999999996,114775.03269479635,199814.70459519298,761.6921706769365,22.206511259359893,3.0,19.728709240662567,60.0,0.3799999999534339,Master's,Unemployed,Divorced,Yes,No,Auto,No,1
53.0,24679.76868003066,246664.6082161517,776.9656679173852,48.49030016746612,3.0,6.26130692891807,60.0,0.7300000000349246,PhD,Part-time,Single,Yes,No,Auto,No,0
21.0,57334.09759379064,234819.42685821545,434.5946373281988,110.56744323614227,3.0,23.089585861754507,47.99999999720603,0.7499999999650754,PhD,Full-time,Single,No,No,Business,Yes,1
48.0,30400.66090080297,243487.33681561594,829.9287118241025,119.0,1.0,14.205327170417954,60.0,0.3299999999417923,High School,Full-time,Single,Yes,No,Auto,No,0
19.0,62179.031850432286,212456.65929643824,600.3855613622316,87.96440754736876,3.0,22.834387911775707,23.999999991618097,0.7399999994412065,PhD,Part-time,Single,Yes,No,Home,No,1
21.0,28778.158509668698,243286.98555731378,498.1687521001251,45.02759157424504,4.0,18.488786905628814,60.0,0.4400000001164154,PhD,Full-time,Married,Yes,No,Auto,No,1
21.0,55980.57258192859,243964.88024769464,546.877837817389,117.12415505250081,2.0,19.50361762881829,47.99999999720603,0.2899999998952262,High School,Unemployed,Divorced,Yes,No,Business,No,1
51.0,80696.56052433573,230811.29910712392,473.8951816060336,15.544689170444544,1.0,8.007885815950083,47.99999999720603,0.22999999973224478,High School,Full-time,Married,Yes,Yes,Other,Yes,0
53.6,30388.67607609571,211730.68763181815,692.6787117921465,28.262403813950346,2.0,19.186593392036528,12.0,0.7200000002561138,Bachelor's,Unemployed,Single,Yes,No,Auto,No,0
27.4,17148.172875077038,227518.72794936382,429.83825876187495,74.50726673996711,2.0,17.714221839749772,47.99999999720603,0.8400000002095477,High School,Self-employed,Divorced,Yes,No,Home,No,1
21.0,110808.51069341379,218802.9848959397,545.2233645711614,86.44274922214512,1.0,23.721725663685177,60.0,0.19000000005820766,Bachelor's,Part-time,Single,Yes,No,Auto,Yes,1
20.8,48330.744548890914,231227.35351785723,759.6790494249852,49.211242318202565,3.0,3.970397862030752,60.0,0.3299999999417923,Bachelor's,Unemployed,Single,Yes,No,Auto,No,0
