Age,Income,LoanAmount,CreditScore,MonthsEmployed,NumCreditLines,InterestRate,LoanTerm,DTIRatio,Education,EmploymentType,MaritalStatus,HasMortgage,HasDependents,LoanPurpose,HasCoSigner,Default
27.0,80531.39979492509,143299.29542684444,401.986512553875,74.55353412603809,1.0,17.63849844978389,23.999999991618097,0.6300000000116415,PhD,Part-time,Single,No,No,Auto,No,1
53.0,88488.45285453727,96574.33028494343,729.4971811991411,25.91499094174127,4.0,14.811300234895038,23.999999991618097,0.36000000002328314,Master's,Part-time,Married,No,Yes,Home,Yes,0
63.800000000000004,80772.80385020487,146578.26775051147,478.18830136935884,88.25008331151913,3.0,22.99383304587422,47.99999999720603,0.529999999802094,Bachelor's,Full-time,Single,Yes,Yes,Other,Yes,0
23.2,28887.314081006756,204308.16105997845,642.5230330379036,48.508451255156764,4.0,7.709757651009075,35.999999994412065,0.8499999999883585,PhD,Part-time,Married,Yes,No,Auto,No,1
27.2,49984.98045073519,40338.16623620181,584.2800103864354,46.213348937037715,4.0,10.885845496991147,60.0,0.31999999997671696,PhD,Part-time,Single,No,No,Business,No,0
18.2,131433.78533633397,208756.69397113766,512.5002858630615,11.711912695251385,4.0,17.279724172849612,23.999999991618097,0.14000000004656615,Master's,Unemployed,Single,No,No,Business,No,1
63.800000000000004,54761.149994585234,24628.420521679433,606.4296873299008,116.02927969303664,4.0,17.60889893393938,23.999999991618097,0.8300000000582076,PhD,Part-time,Divorced,No,Yes,Other,Yes,0
42.8,41516.61507382212,5516.916874171448,672.457136891423,17.858027331497993,1.0,6.160621818544023,23.999999991618097,0.8099999999417923,PhD,Part-time,Married,No,No,Home,No,0
22.2,22819.91598255581,207708.9394306738,736.8155918863638,117.94641981132943,2.0,3.1998949432978163,35.999999994412065,0.629999999825377,PhD,Self-employed,Divorced,Yes,No,Other,No,0
66.80000000000001,93574.45337499736,79787.53390265338,791.7459105303851,45.69937939632204,1.0,14.834223082734791,60.0,0.31999999997671696,Bachelor's,Part-time,Single,No,No,Home,No,0
20.8,50892.258304660965,166400.58742317386,429.8780629071123,61.08030641872443,3.0,23.774450940420955,47.99999999720603,0.30999999982537707,Master's,Unemployed,Married,No,No,Home,No,1
36.0,113550.52274618194,68909.41385207452,681.1582511009551,41.204780642223724,4.0,23.419263532254675,47.99999999720603,0.4999999999068677,PhD,Part-time,Married,No,No,Home,No,1
60.199999999999996,103703.1948596931,31655.692711308526,598.8985834754767,62.67674574457964,1.0,9.658880927783642,23.999999991618097,0.58,Master's,Self-employed,Single,Yes,No,Home,No,0
18.0,58505.92228768555,216269.3840189067,663.9004268871854,16.016632966235427,4.0,17.76043976750701,23.999999991618097,0.7400000001862646,PhD,Part-time,Married,No,No,Auto,Yes,1
67.4,30841.111363682227,215063.98223105446,568.3028774322715,18.037401123912403,2.0,17.641321199001123,23.999999991618097,0.7800000000465661,Bachelor's,Part-time,Married,Yes,No,Auto,No,0
20.0,55468.195572590266,245585.68066711206,421.8531265328296,119.0,2.0,22.483645144105807,47.99999999720603,0.4200000001862646,High School,Full-time,Divorced,Yes,No,Other,No,1
35.6,54200.10009223482,100262.99993099249,745.901855089446,77.82959180670548,3.0,9.042790992609875,12.0,0.47000000001164155,PhD,Part-time,Single,Yes,Yes,Auto,No,0
47.4,46953.82632344794,230031.09961556064,544.7148002047825,43.07801541082515,2.0,9.378674945174408,47.99999999720603,0.2999999998603016,Bachelor's,Unemployed,Single,Yes,No,Business,No,0
38.8,63529.24688936286,166398.89749999135,381.62187534445474,105.48647731134818,3.0,22.35084367449415,47.99999999720603,0.3399999991618097,PhD,Unemployed,Single,No,No,Other,No,0
25.2,114754.67199942438,14632.409973152076,350.6268352923512,76.60038999761463,4.0,7.512331259635355,12.0,0.8199999997206032,Bachelor's,Unemployed,Married,Yes,Yes,Education,No,0
20.6,50306.447398855686,148376.84278455024,714.3513692930228,8.931964500325723,1.0,20.266973927180977,23.999999991618097,0.3599999998370186,Master's,Part-time,Married,Yes,Yes,Auto,No,1
19.6,144271.77583605604,18866.92064365999,405.8860949999388,68.74838468193737,4.0,20.809097082346938,12.0,0.3999999998835847,Bachelor's,Unemployed,Married,No,Yes,Home,No,1
46.8,91662.85683305582,24564.677109728724,684.3879010657286,10.757066353167655,4.0,9.73496383698307,12.0,0.16999999956926332,Bachelor's,Part-time,Single,Yes,Yes,Home,No,0
69.0,138500.71085150534,34737.44369919818,742.6498843658832,103.59770897626822,2.0,10.383991456067653,60.0,0.5599999998835846,Master's,Unemployed,Single,Yes,No,Education,No,0
63.0,147259.97422773927,37502.489052271114,440.7754572838953,61.88641348664798,1.0,8.713034454300775,23.999999991618097,0.2599999998137355,PhD,Full-time,Married,No,Yes,Other,Yes,0
