Age,Income,LoanAmount,CreditScore,MonthsEmployed,NumCreditLines,InterestRate,LoanTerm,DTIRatio,Education,EmploymentType,MaritalStatus,HasMortgage,HasDependents,LoanPurpose,HasCoSigner,income
68.8,56726.52841147467,231347.57486979186,776.3174931300612,74.99002731637798,1.0,4.288212789545817,60.0,0.7499999999650754,Master's,Unemployed,Divorced,Yes,No,Home,No,0
23.8,55444.066345071675,182496.40815147583,613.2587821591317,11.965960900058494,4.0,19.41413500715376,47.99999999720603,0.10999999977881089,PhD,Full-time,Single,Yes,No,Auto,No,1
18.0,22245.839252588536,210910.133710017,471.71766971231386,55.766265900984,3.0,16.718802328905745,60.0,0.17000000012805686,High School,Full-time,Single,Yes,Yes,Auto,Yes,1
51.6,50657.26688198053,234337.87671694017,841.2901120074769,82.50792635290603,3.0,20.227317090278333,47.99999999720603,0.5499999999185093,High School,Self-employed,Single,No,No,Business,Yes,0
18.0,76355.29432871408,93784.80904951338,392.3675943741965,78.766180777635,1.0,23.568749456335503,12.0,0.6799999998370185,High School,Self-employed,Divorced,No,No,Home,Yes,1
50.0,47289.85441217335,214619.16821368484,365.0244250593298,46.86514166995537,3.0,6.832821382275508,12.0,0.6300000000116415,Bachelor's,Unemployed,Single,Yes,No,Education,Yes,0
46.8,72192.90346609193,62157.466764831326,358.67612968470814,76.54183069070378,1.0,19.763136115170347,12.0,0.4799999997904524,PhD,Full-time,Divorced,Yes,Yes,Auto,No,0
25.4,20474.75289683038,177382.4179396924,400.4587432091261,55.31228852675117,2.0,23.762000425106848,23.999999991618097,0.41999999962747103,PhD,Unemployed,Divorced,No,No,Other,No,1
67.4,56499.65350575807,123411.33224804219,751.1286867782774,117.13879490693537,1.0,8.72843211735795,47.99999999720603,0.36999999998835853,Master's,Self-employed,Married,Yes,Yes,Auto,No,0
18.0,101609.6981971878,60090.717005368955,407.5675677476841,0.007284573281017266,1.0,21.053201461912415,60.0,0.2999999998603016,Bachelor's,Self-employed,Single,Yes,No,Home,No,1
54.4,17178.80197206321,243953.65603228883,671.1550889218122,16.01341985864877,4.0,16.607042762883253,47.99999999720603,0.14000000004656615,PhD,Self-employed,Divorced,Yes,No,Auto,Yes,1
33.0,49422.50176183891,219872.10889432393,640.8099233330717,63.68793842002935,2.0,19.877235486856016,60.0,0.8499999999883585,PhD,Self-employed,Single,Yes,No,Business,No,1
20.0,22558.45652951753,234810.071995568,632.075838322769,50.95071095273614,2.0,14.200557932201903,60.0,0.41000000003492465,PhD,Full-time,Divorced,Yes,No,Other,No,1
33.8,29346.586275312955,88527.21894134005,844.5185069959887,40.36465580071431,4.0,19.24925470126776,60.0,0.47999999997671694,High School,Part-time,Married,Yes,No,Auto,No,1
61.0,72345.37226821165,230544.30835454358,493.6655637802709,0.0009079256562767378,2.0,19.660749940599956,47.99999999720603,0.22999999991850928,Bachelor's,Full-time,Married,Yes,No,Home,No,0
52.0,58455.697106365275,238971.1790304005,757.4518290693993,52.092811302303524,2.0,17.681620706308546,47.99999999720603,0.17999999972060324,High School,Part-time,Married,Yes,Yes,Auto,No,1
55.800000000000004,73320.93518928064,42518.70006917015,487.6367917786438,54.60837680488089,2.0,4.288717363669704,60.0,0.2699999999650754,Bachelor's,Full-time,Divorced,Yes,Yes,Auto,No,0
43.0,54612.94159473524,193035.91425024808,739.4408851390334,105.21213605795339,4.0,19.013576833755614,60.0,0.8233333334148241,PhD,Part-time,Married,Yes,No,Auto,No,0
43.4,63925.05592757138,239124.4299109756,573.5808469111987,21.532999738942134,4.0,17.347699349247314,47.99999999720603,0.72999999984866,High School,Full-time,Single,No,No,Other,Yes,1
60.199999999999996,80780.99955913844,108079.50913657423,568.7080335697876,115.48974720609601,3.0,23.095703186026242,47.99999999720603,0.2699999997788109,High School,Self-employed,Married,Yes,No,Home,No,0
18.0,50889.555124484825,239160.0163966231,434.83492335603455,20.602276833868185,2.0,22.322002529318446,12.0,0.37999999976716936,Bachelor's,Unemployed,Married,Yes,No,Business,No,1
67.4,17685.473545662004,169808.07147521712,605.2896272938908,110.5669326543731,4.0,2.5369266708607148,60.0,0.33666666658517597,High School,Full-time,Divorced,Yes,No,Home,No,0
66.0,52705.968952489544,50207.97260282747,339.1038512271139,85.49649275059264,2.0,7.833186103862986,47.99999999720603,0.2599999998137355,High School,Self-employed,Single,Yes,Yes,Auto,Yes,0
66.4,43108.121130923304,227026.24977125466,391.37236560354296,5.810589766551412,3.0,2.3763529627179616,35.999999994412065,0.8399999994644896,Bachelor's,Self-employed,Divorced,No,No,Other,No,0
68.0,50968.94761959137,243891.07782893142,518.9517848202846,119.0,1.0,22.376738051973923,47.99999999720603,0.36999999980209397,High School,Self-employed,Divorced,Yes,No,Auto,Yes,0
26.0,17673.6274326033,227519.58893756373,604.6214834541598,1.4065964460388283,3.0,13.935902145368956,60.0,0.7399999994412065,Bachelor's,Part-time,Single,Yes,No,Home,No,1
67.4,21084.24867521302,115594.45933540222,778.6217839579615,74.97527397469973,4.0,14.83517689397912,60.0,0.6700000000582077,High School,Part-time,Married,Yes,Yes,Home,No,0
29.4,51946.46183707948,231350.8433854093,434.7959165770551,22.436947218477016,4.0,18.65557053037118,47.99999999720603,0.7499999999650754,Bachelor's,Part-time,Divorced,No,No,Business,No,1
68.19999999999999,84541.41606873121,26121.49628460442,761.019936851929,34.876316747599354,2.0,4.6329562563130064,35.999999994412065,0.7799999998603017,Bachelor's,Part-time,Divorced,Yes,Yes,Business,No,0
22.0,56635.50764407695,249527.68645220617,407.963899298097,37.51736001961803,4.0,16.87780484191557,47.99999999720603,0.2899999998952262,High School,Part-time,Single,Yes,No,Auto,No,1
67.0,63325.57428801445,87400.26107203223,775.7448271889577,40.35556967285359,2.0,6.299080139829098,12.0,0.5899999999650755,High School,Part-time,Single,Yes,Yes,Auto,Yes,0
21.8,51012.222102873544,173555.09400335958,364.96592639502273,2.344327465478407,4.0,23.80938706202651,60.0,0.31999999997671696,Bachelor's,Unemployed,Single,Yes,No,Home,No,1
35.8,17208.96701039187,171641.00248215743,339.36877610240333,38.476114495535406,4.0,23.863514974963273,60.0,0.32000000016298147,Bachelor's,Full-time,Married,Yes,No,Auto,No,1
18.0,63695.487426421016,177919.90995655765,572.4807729140111,47.56059864758528,2.0,22.37124203517596,47.99999999720603,0.4400000001164154,PhD,Unemployed,Single,Yes,No,Other,No,1
29.2,18730.439523364286,197019.21290621607,672.7441197193098,72.13587971523775,3.0,14.840767740565532,12.0,0.7100000001047738,Bachelor's,Part-time,Married,No,No,Home,No,1
18.2,125949.73187948827,146691.13454306757,719.151376499364,19.208546976374592,4.0,17.375733338549207,35.999999994412065,0.17000000012805686,High School,Part-time,Divorced,No,Yes,Auto,No,1
32.4,21286.187380954434,37558.73771479324,357.1963029129422,54.169181116430366,4.0,6.906986964402485,12.0,0.2699999999650754,High School,Part-time,Married,Yes,Yes,Home,No,1
42.400000000000006,63901.94978488072,209986.671051948,548.4203199628788,118.97818207740275,2.0,17.420664769297154,47.99999999720603,0.15999999979045243,PhD,Unemployed,Married,No,No,Auto,Yes,0
41.4,121949.25273859181,240101.97963559578,777.9751371790132,49.42361931489399,4.0,17.359417631500268,60.0,0.639999999976717,High School,Self-employed,Married,Yes,No,Business,Yes,0
39.400000000000006,56643.84215893523,103135.44842892686,434.64959590617786,112.67474555565853,4.0,24.042592241198896,60.0,0.48999999994179233,High School,Part-time,Married,Yes,No,Business,No,1
36.0,21907.532980591182,240139.20887714697,705.0097992054675,15.95486753386326,4.0,13.942391931887808,12.0,0.4400000001164154,High School,Unemployed,Single,Yes,No,Other,No,1
67.6,84171.27204802244,32823.17662674542,617.8895106052257,47.80214563403328,3.0,17.582395908302257,23.999999991618097,0.799999999976717,Bachelor's,Part-time,Married,Yes,Yes,Auto,Yes,0
18.0,56375.09427924829,243913.48975785857,621.8808750461044,51.945774364505375,4.0,19.864216099866717,47.99999999720603,0.48999999994179233,High School,Self-employed,Divorced,Yes,No,Auto,No,1
55.800000000000004,77681.63798540845,107897.74064545002,539.6901027796999,18.315494770956107,4.0,14.457723734110532,12.0,0.6599999999068678,High School,Part-time,Divorced,No,No,Other,Yes,0
18.0,18352.69706458568,185131.0372333161,347.94505072383794,47.780082893739475,4.0,5.029069821331433,60.0,0.30999999982537707,Bachelor's,Full-time,Single,Yes,No,Business,No,1
30.0,50962.744877137186,54379.593092934134,675.2387415406384,107.12327556594352,4.0,22.6646006942621,60.0,0.2599999998137355,High School,Self-employed,Divorced,Yes,No,Auto,No,1
54.2,149576.39612789647,50420.267562898865,609.6156495999581,68.77664308873392,2.0,9.222708307530896,12.0,0.26,Bachelor's,Unemployed,Married,Yes,Yes,Education,No,0
26.4,62031.75590460043,223816.07734011862,705.9811839384448,55.254637006962355,2.0,22.39037434110194,47.99999999720603,0.41999999962747103,High School,Unemployed,Divorced,Yes,Yes,Home,No,1
40.4,126328.66646023972,208344.32756252223,720.8268032986268,113.45955245882728,4.0,17.749012505006746,12.0,0.799999999976717,High School,Part-time,Married,Yes,Yes,Auto,No,0
53.6,16250.280746556884,158213.6996415103,777.6578226051429,17.3337092558699,2.0,10.122373407367238,60.0,0.6200000000465662,High School,Self-employed,Divorced,Yes,No,Home,No,1
31.0,123984.85240343348,208047.12208990174,837.9549591615691,12.126204888132914,4.0,17.58343435229581,12.0,0.39000000010477376,Master's,Unemployed,Married,Yes,No,Other,No,1
24.0,22509.024650611456,213309.93253789606,605.2733233397066,8.466581547275787,3.0,18.447870073313332,60.0,0.36000000002328314,Master's,Unemployed,Divorced,Yes,No,Auto,No,1
65.0,52355.6499814686,242031.11751874702,558.9397401085448,100.96214478857866,1.0,19.503591903374435,60.0,0.4999999999068677,High School,Self-employed,Married,Yes,Yes,Business,Yes,0
29.2,56234.21214221027,100240.89667112587,813.1944856157513,58.97656490001282,2.0,17.512088982170003,47.99999999720603,0.2699999995925464,PhD,Part-time,Married,Yes,No,Auto,No,1
66.0,48422.391089976394,79693.39765287317,353.27920320706426,116.65758768717237,3.0,3.9715926980952716,12.0,0.8300000000582076,Bachelor's,Part-time,Married,Yes,Yes,Home,No,0
67.6,55254.65122083473,178877.47575494403,503.3164649366672,107.58810513014629,1.0,19.85807013288794,47.99999999720603,0.17999999972060324,PhD,Unemployed,Married,Yes,No,Business,No,0
68.4,134001.48037102039,119539.69553727184,844.7070044816255,100.14929246114318,3.0,2.9850764122267894,60.0,0.27999999974388634,High School,Self-employed,Married,Yes,Yes,Home,Yes,0
23.6,80402.21431181562,227641.9417714146,435.2266212855993,33.73548958304699,1.0,13.755678871096038,47.99999999720603,0.2499999998486601,PhD,Full-time,Married,Yes,No,Home,No,0
29.2,42449.10523115404,204709.25585777248,573.6954097034632,76.83420220223121,2.0,17.307772930461862,12.0,0.7499999999650754,Bachelor's,Full-time,Married,No,No,Other,No,1
63.0,99987.93169428965,46354.8948189418,485.31418849767977,47.80124837551295,2.0,9.726587988959297,60.0,0.48999999994179233,Bachelor's,Full-time,Married,Yes,Yes,Home,Yes,0
29.2,51042.01930707297,244870.9463357625,428.3872106742084,93.5269284128507,3.0,19.86272649710596,47.99999999720603,0.4799999997904524,PhD,Self-employed,Married,Yes,No,Home,No,0
18.8,17674.405839385094,230928.5059737434,561.8623639272671,18.02110149083219,1.0,19.689190339457525,12.0,0.8299999998719432,Bachelor's,Full-time,Divorced,Yes,Yes,Other,No,1
26.0,52162.29628232781,246770.99923219788,631.0037714638756,4.687782414650494,4.0,13.959009690761803,47.99999999720603,0.39000000010477376,Master's,Part-time,Married,Yes,No,Business,No,1
18.0,89415.92849464015,158640.30526415454,382.64754157155926,3.7187856872842615,4.0,23.935137308450685,12.0,0.8300000000582076,Bachelor's,Unemployed,Divorced,No,No,Other,No,1
44.8,60417.72278037451,248691.76078837638,568.857666161111,111.77857220167726,2.0,16.635161995150888,47.99999999720603,0.32000000016298147,PhD,Unemployed,Single,Yes,No,Auto,No,0
27.0,16689.438777634976,18451.99779134523,602.3380483939168,38.236543783041775,4.0,5.408047034430329,60.0,0.3100000000116415,High School,Part-time,Single,Yes,Yes,Home,No,1
36.0,54364.89336462084,123290.80918521872,776.9788077156941,27.12907755773726,3.0,22.01943815985682,47.99999999720603,0.6699999996856787,High School,Self-employed,Single,Yes,No,Home,No,1
25.4,51226.22812495736,115947.82535271435,388.78456006915883,11.247075982682192,2.0,22.72493684837942,60.0,0.2599999998137355,High School,Self-employed,Married,Yes,No,Other,No,1
67.4,25126.145216276207,232751.87342991863,567.7404692412215,107.27299355675302,3.0,23.770925805224323,60.0,0.3999999998835847,High School,Unemployed,Divorced,Yes,Yes,Auto,No,0
19.0,64156.82851093631,81296.76494337077,761.8519766544579,9.278214856581346,4.0,14.74537220645821,12.0,0.3799999999534339,High School,Part-time,Married,Yes,Yes,Auto,No,0
18.0,17825.515116507075,246357.987823877,639.8675023733796,2.3308507998778603,2.0,14.032021192864521,60.0,0.14999999982537704,High School,Self-employed,Single,Yes,No,Home,No,1
66.0,47498.58034110106,96612.29099003885,774.9324817450095,25.313501429584228,3.0,3.250370747826614,12.0,0.17999999972060324,Bachelor's,Part-time,Single,Yes,Yes,Other,No,0
66.0,54143.403167166376,95520.51255333249,603.0703675628338,71.79405610957045,2.0,19.009256843365556,12.0,0.58,High School,Part-time,Married,Yes,No,Home,No,0
20.0,17681.225839247745,242873.39690591054,418.1786790052845,17.781444803993555,1.0,13.868547425353563,12.0,0.7300000000349246,Bachelor's,Unemployed,Married,Yes,No,Auto,No,1
21.6,30343.735356060028,236117.13854687221,689.4873386033548,35.652175752365075,1.0,16.964924881852916,47.99999999720603,0.4900000001280569,PhD,Part-time,Married,Yes,No,Other,No,1
26.8,52073.633832933294,39936.646077385325,400.6190859197218,74.85995674921664,4.0,18.59812029893932,12.0,0.8400000000232831,High School,Part-time,Divorced,No,No,Business,Yes,1
52.0,21380.169519489904,236310.8044279997,568.6696893027215,44.77154307364755,2.0,22.713627138203854,47.99999999720603,0.31999999979045246,PhD,Full-time,Married,Yes,No,Other,Yes,1
67.4,132156.51962917636,85947.79456812605,727.3755368400308,76.38457283572866,4.0,17.573653491438286,60.0,0.39000000010477376,Master's,Unemployed,Married,Yes,No,Auto,No,0
46.8,35894.68208118102,107428.34734272872,400.7368476359958,99.91106857846283,3.0,3.9295725621933983,35.999999994412065,0.9,Bachelor's,Self-employed,Divorced,No,Yes,Auto,Yes,0
19.6,55181.52296766046,243817.24837595999,546.7290998664054,35.589828697869045,1.0,22.501039242919312,47.99999999720603,0.27999999974388634,Bachelor's,Unemployed,Single,Yes,No,Auto,No,1
19.2,48886.64049957987,56264.18071126197,521.2518883888265,17.813121958592237,3.0,23.027805582065554,12.0,0.5799999998137355,High School,Self-employed,Divorced,Yes,Yes,Business,Yes,1
20.2,31550.246729777253,200247.514397513,636.3829667042901,57.890655032799266,2.0,18.340015197163453,12.0,0.8400000002095477,High School,Part-time,Divorced,Yes,Yes,Home,No,1
66.4,17838.103371453497,246716.89956108967,366.17196369547673,44.77154307364755,2.0,2.537021388240862,60.0,0.7300000000349246,High School,Full-time,Divorced,Yes,No,Business,No,0
19.800195309519815,54745.70686913019,119371.36458753873,764.1451632816218,82.36893285121046,2.0,21.30218287390708,12.0,0.26,PhD,Part-time,Married,Yes,Yes,Home,No,0
27.6,50921.8150732412,247705.01293107518,395.0468172214569,117.14062486103285,4.0,16.635118466372397,47.99999999720603,0.7400000001862646,High School,Part-time,Married,Yes,No,Other,No,1
64.4,77740.34990615104,26774.078058789968,462.85531342235754,60.05758068525641,3.0,4.620858745903442,35.999999994412065,0.6999999999534339,High School,Self-employed,Married,No,Yes,Auto,Yes,0
