Age,Income,LoanAmount,CreditScore,MonthsEmployed,NumCreditLines,InterestRate,LoanTerm,DTIRatio,Education,EmploymentType,MaritalStatus,HasMortgage,HasDependents,LoanPurpose,HasCoSigner,Default
36.0,117734.02515089535,179116.4960830371,797.9883498460958,3.3157357136522734,2.0,19.45873443729215,23.999999991618097,0.16999999994179232,PhD,Self-employed,Single,Yes,Yes,Home,No,1
51.0,59666.75884437788,231233.60264047832,540.8850735875044,41.699620517133646,1.0,16.544624020071847,60.0,0.13000000008149074,Bachelor's,Full-time,Single,No,No,Auto,Yes,1
26.6,69670.96649427479,19479.918006267377,383.61466196729214,98.40044009950952,1.0,16.478330648580645,35.999999994412065,0.4999999999068677,Bachelor's,Part-time,Divorced,No,Yes,Auto,Yes,1
23.2,51482.30145559117,169724.48193164647,417.6423168763617,68.40170941348228,4.0,23.681115347410348,60.0,0.31999999997671696,Bachelor's,Unemployed,Single,No,No,Other,No,1
66.0,22153.350574040865,229047.9320227839,318.9263853290878,63.94288754066054,1.0,13.581780244834205,12.0,0.7200000002561138,Bachelor's,Full-time,Divorced,No,Yes,Other,No,1
35.6,69801.49899507884,47251.749656463915,375.02396419435365,103.96396071113739,4.0,12.175809665551832,35.999999994412065,0.4999999999068677,Bachelor's,Unemployed,Divorced,No,Yes,Business,No,0
52.400000000000006,102352.09007384235,233116.52012648914,369.3270969840994,41.660368116726254,2.0,15.118979465998473,60.0,0.4800000001629815,Bachelor's,Full-time,Divorced,No,Yes,Education,No,0
69.0,17941.60309630926,232905.79400600537,369.8590335896842,41.626754613739145,4.0,2.0860786430365588,60.0,0.7099999999185093,Bachelor's,Full-time,Divorced,No,Yes,Other,No,0
42.6,64058.55344485784,227639.24793234078,656.1211222692209,19.260126956333437,3.0,22.37473088925349,47.99999999720603,0.3499999998719432,Master's,Unemployed,Single,No,No,Other,No,1
66.19999999999999,49356.890806390875,39836.185590949884,609.6488195505573,98.38617606074227,4.0,22.300455939197086,12.0,0.3999999998835847,High School,Full-time,Single,No,Yes,Other,Yes,0
40.599999999999994,50299.10831448671,9081.408306975245,302.0238689514864,9.13534084477819,2.0,18.64207600952873,35.999999994412065,0.4599999998603016,Bachelor's,Part-time,Divorced,No,Yes,Auto,Yes,1
52.800000000000004,54679.67358793567,17020.713045825418,583.7471319734461,9.13340602026633,1.0,6.483739677503179,60.0,0.3499999998719432,Master's,Unemployed,Single,No,Yes,Auto,Yes,0
35.0,93607.15588744804,215739.47241683013,817.0954641557986,40.271057224197094,2.0,14.115522482897045,60.0,0.3999999998835847,Bachelor's,Unemployed,Single,Yes,Yes,Home,No,0
67.0,49986.02129090555,39964.923345838884,738.9380642894977,45.73559612378841,1.0,6.889933751807533,12.0,0.48999999994179233,PhD,Part-time,Divorced,No,Yes,Home,No,0
66.19999999999999,55963.63096842417,49157.79399502971,373.4825783955126,68.63036515229157,1.0,9.244923400556418,60.0,0.5200000000232831,Bachelor's,Full-time,Single,No,No,Other,Yes,1
49.6,137165.39722724643,48985.362400781676,575.035013649388,98.41305812993392,1.0,7.923736336800208,60.0,0.4599999998603016,Bachelor's,Unemployed,Married,Yes,Yes,Other,No,0
54.2,102294.13261373833,110458.03318329576,369.6286085461333,97.45431096862404,2.0,7.833925076069759,60.0,0.2699999999650754,Bachelor's,Full-time,Divorced,No,Yes,Home,No,0
22.0,69669.69238347297,47244.51110463694,383.3340227900385,98.38583559901124,1.0,6.416338629207187,60.0,0.4800000001629815,Bachelor's,Unemployed,Married,No,Yes,Other,Yes,1
63.4,52796.56032342919,49397.47574867622,302.0381673467434,82.3588043363669,3.0,5.04682012600983,35.999999994412065,0.7200000000698492,Bachelor's,Full-time,Divorced,No,Yes,Auto,Yes,0
22.0,49984.773703128514,170354.33449568096,601.7353176033905,29.779997877259735,4.0,5.363254508232524,23.999999991618097,0.72999999984866,High School,Self-employed,Divorced,Yes,Yes,Other,No,1
66.80000000000001,119213.9057271138,102727.23428077233,369.3250029709481,93.75940703152665,2.0,16.4666581914473,60.0,0.28000000030267985,High School,Full-time,Divorced,No,Yes,Home,Yes,0
67.0,119831.75456133176,104401.76028401632,507.6617556916693,90.03859985271437,2.0,4.938071999928931,60.0,0.28999999915016816,High School,Full-time,Divorced,No,Yes,Auto,Yes,0
30.200000000000003,51397.797307391134,37226.62742921771,382.15702634075586,85.2677306174924,2.0,22.352198911859233,60.0,0.30999999982537707,Bachelor's,Full-time,Single,No,No,Other,Yes,1
41.4,52279.353295296045,165239.12991182858,506.8574023169599,97.48336345364419,2.0,5.049623696228867,60.0,0.13000000008149074,Bachelor's,Full-time,Divorced,No,Yes,Auto,Yes,1
24.2,50494.017978705706,39952.07291444579,602.2102097985824,60.96453524426663,2.0,9.312554532597437,60.0,0.31999999997671696,Bachelor's,Unemployed,Single,No,No,Auto,No,1
54.8,143111.6222786772,27440.849028015706,480.04487538944113,33.445146600586625,4.0,6.432656429191739,12.0,0.2699999995925464,Bachelor's,Unemployed,Divorced,No,Yes,Auto,Yes,0
66.80000000000001,51743.852922156184,169963.7077539423,369.32335940965527,98.38583537735647,2.0,16.544623784549678,60.0,0.33000000012805686,Bachelor's,Full-time,Divorced,No,Yes,Other,Yes,1
34.6,26101.376725236973,217598.1428987063,753.1936684095286,27.56920943282759,2.0,14.56892748923249,12.0,0.30999999982537707,Master's,Unemployed,Single,No,No,Auto,No,1
23.0,18731.955955308385,170084.73705227597,600.730068579719,11.178983581061239,4.0,3.925703773392761,35.999999994412065,0.7099999999185093,Bachelor's,Part-time,Divorced,Yes,Yes,Education,No,1
60.6,52606.5136118083,170085.2040482604,327.30235101382766,0.008206546308520843,3.0,6.800127961614664,35.999999994412065,0.72999999984866,Bachelor's,Part-time,Divorced,Yes,Yes,Auto,No,1
41.2,69311.33539609944,39821.25130119297,370.13171955620214,115.120211600354,1.0,6.417018281944799,12.0,0.4899999991967343,Bachelor's,Unemployed,Divorced,No,Yes,Business,Yes,0
66.80000000000001,52796.28679687979,141257.44656855648,370.395100956409,97.4797318895533,2.0,5.04682012600983,60.0,0.3499999998719432,Bachelor's,Full-time,Divorced,No,Yes,Auto,No,0
