Age,Income,LoanAmount,CreditScore,MonthsEmployed,NumCreditLines,InterestRate,LoanTerm,DTIRatio,Education,EmploymentType,MaritalStatus,HasMortgage,HasDependents,LoanPurpose,HasCoSigner,Default
19.0,17158.239054339992,212568.31553821644,679.834396864249,11.727304347261624,4.0,16.607568282421582,47.99999999720603,0.34000000009313225,Master's,Self-employed,Single,Yes,No,Business,No,1
63.199999999999996,22696.475939700722,230389.32123902004,503.2698654106981,15.006787951804416,2.0,3.3401763774361872,60.0,0.8300000000582076,High School,Self-employed,Single,Yes,No,Auto,Yes,0
50.199999999999996,103110.574638656,48129.75606153015,579.1742312433603,78.04337251536626,1.0,9.201701443216695,35.999999994412065,0.27999999974388634,Master's,Full-time,Divorced,Yes,Yes,Other,No,0
43.4,147833.65983736716,39596.98703099903,486.38642958071694,115.12006951964462,2.0,24.45629359524844,60.0,0.48999999994179233,Bachelor's,Unemployed,Divorced,No,Yes,Auto,Yes,1
53.4,96914.94472324847,207927.28320927528,745.3401795856981,107.0715111692137,4.0,7.707819705041549,35.999999994412065,0.8300000000582076,PhD,Unemployed,Married,Yes,No,Auto,No,0
26.8,17744.909287292954,227526.67920048506,695.896833691722,38.416629392052215,3.0,24.13028739950161,47.99999999720603,0.8299999998719432,Bachelor's,Self-employed,Divorced,Yes,Yes,Home,No,1
67.39995117262005,59857.18564602807,223814.53108607198,552.1163648930649,75.89113027250653,2.0,17.350582327905713,60.0,0.739999999254942,High School,Unemployed,Married,No,No,Other,No,0
36.2,22221.692992511365,245737.20175760268,494.553579000885,55.09426531803195,3.0,19.96504990501913,47.99999999720603,0.8599999999534339,Bachelor's,Unemployed,Married,Yes,Yes,Other,Yes,0
49.8,62690.70383126235,179179.8994000861,503.670442252576,55.239656635383064,2.0,13.096287318562691,47.99999999720603,0.4999999999068677,PhD,Unemployed,Divorced,Yes,Yes,Auto,No,0
47.6,50402.84621233396,127069.19065341102,468.1030204359216,18.740298608956,1.0,22.71930477470842,12.0,0.58,High School,Self-employed,Single,Yes,Yes,Auto,Yes,0
24.8,54283.865272511,239997.18472148225,768.4085034987444,18.05026768475079,4.0,19.880748722830496,47.99999999720603,0.2699999997788109,PhD,Part-time,Married,Yes,No,Auto,No,1
21.0,17698.12223162342,233893.9263113434,498.0955701624266,3.417711067343529,4.0,2.266354695685756,60.0,0.30999999982537707,Bachelor's,Full-time,Married,Yes,Yes,Other,No,1
32.4,21891.75988859561,229143.18728345985,626.2013647449671,38.88423601348983,3.0,8.188902992622205,60.0,0.4099999998486601,Bachelor's,Full-time,Married,Yes,Yes,Home,No,0
