Age,Income,LoanAmount,CreditScore,MonthsEmployed,NumCreditLines,InterestRate,LoanTerm,DTIRatio,Education,EmploymentType,MaritalStatus,HasMortgage,HasDependents,LoanPurpose,HasCoSigner,LoanDefault
28,68559,197371,366,52,4,9.14,24,0.3,High School,Part-time,Married,Yes,Yes,Other,No,0
43,39215,124625,542,78,1,24.71,12,0.69,Bachelor's,Self-employed,Divorced,Yes,Yes,Education,No,0
64,128993,223067,744,55,3,17.39,12,0.75,High School,Self-employed,Divorced,No,Yes,Business,No,0
18,33343,74830,606,88,4,5.36,48,0.21,PhD,Part-time,Divorced,No,No,Other,Yes,0
33,45746,172492,731,23,3,24.81,36,0.1,PhD,Unemployed,Married,Yes,Yes,Home,Yes,0
69,87356,102551,459,63,2,17.73,48,0.88,High School,Full-time,Married,Yes,Yes,Auto,Yes,0
62,117064,13349,444,38,1,24.07,60,0.48,Master's,Part-time,Divorced,No,Yes,Education,Yes,0
42,101125,147737,526,59,2,16.72,48,0.16,PhD,Full-time,Single,No,No,Education,No,0
22,134932,187314,629,61,1,15.9,48,0.76,PhD,Full-time,Single,No,Yes,Auto,No,0
38,148692,12215,667,66,4,7.56,36,0.53,PhD,Self-employed,Single,No,Yes,Home,Yes,0
18,97975,192252,691,87,3,22.33,12,0.23,PhD,Full-time,Divorced,No,Yes,Other,Yes,0
55,64240,154335,407,22,2,11.55,12,0.89,Bachelor's,Part-time,Married,No,No,Home,No,1
67,55477,246158,615,83,1,21.8,60,0.38,Bachelor's,Part-time,Divorced,Yes,Yes,Home,No,0
66,107099,196940,633,76,4,19.16,12,0.58,PhD,Part-time,Married,Yes,Yes,Business,Yes,0
49,93779,169053,564,87,4,8.1,12,0.81,PhD,Full-time,Married,Yes,No,Education,No,0
47,134174,121401,532,58,3,14.07,12,0.43,High School,Unemployed,Married,Yes,No,Other,No,0
35,67772,131698,782,70,2,24.66,48,0.14,Master's,Part-time,Married,Yes,Yes,Business,Yes,0
41,69543,147072,819,13,2,21.6,48,0.75,Bachelor's,Self-employed,Married,Yes,Yes,Home,Yes,1
41,39063,163987,430,113,1,24.3,60,0.88,Bachelor's,Full-time,Married,Yes,Yes,Business,No,1
21,136627,96864,497,13,1,8.1,36,0.57,PhD,Full-time,Divorced,No,No,Auto,Yes,1
51,122939,73257,328,97,3,16.7,36,0.8,Master's,Unemployed,Single,No,Yes,Auto,No,1
33,140479,45956,631,62,1,21.88,48,0.16,Master's,Full-time,Married,Yes,Yes,Education,Yes,0
43,130629,48735,651,26,4,18.02,60,0.64,Master's,Unemployed,Divorced,No,No,Education,Yes,0
42,112735,222123,403,57,3,13.36,60,0.59,Master's,Part-time,Single,Yes,No,Home,Yes,1
28,92615,91548,443,37,2,23.8,60,0.58,PhD,Full-time,Married,Yes,Yes,Business,No,0
30,19600,105318,797,17,4,13.9,36,0.37,Master's,Full-time,Married,Yes,Yes,Business,Yes,1
36,146351,249169,389,115,1,6.0,36,0.24,High School,Self-employed,Married,Yes,No,Home,No,0
39,149853,172599,629,74,2,17.78,24,0.62,High School,Part-time,Divorced,No,No,Auto,Yes,1
31,143800,127595,565,16,1,2.21,48,0.78,Master's,Part-time,Single,No,Yes,Business,No,0
18,20937,77346,589,94,3,13.11,12,0.78,Bachelor's,Unemployed,Divorced,No,Yes,Home,Yes,1
26,120624,208500,774,96,3,14.31,60,0.14,Master's,Self-employed,Married,No,No,Home,No,0
39,76380,154867,345,64,3,14.72,24,0.49,Bachelor's,Full-time,Divorced,No,No,Auto,Yes,0
38,133828,234355,593,46,3,23.98,48,0.56,PhD,Full-time,Married,Yes,No,Other,No,0
27,84818,118939,827,31,4,10.96,48,0.57,Master's,Self-employed,Married,Yes,Yes,Home,Yes,0
33,17842,243660,610,57,1,15.23,36,0.64,PhD,Unemployed,Single,No,No,Other,No,1
42,142969,240953,676,102,1,6.18,48,0.19,Bachelor's,Part-time,Single,No,Yes,Home,No,0
21,55550,207213,311,82,1,9.74,60,0.23,High School,Part-time,Divorced,Yes,No,Other,No,0
38,111327,188214,583,77,4,8.55,12,0.43,Master's,Part-time,Married,Yes,No,Auto,No,0
25,111542,84382,770,28,4,17.65,36,0.68,High School,Part-time,Divorced,Yes,Yes,Business,No,0
58,123719,108954,564,22,2,21.45,12,0.78,Master's,Full-time,Married,No,Yes,Education,Yes,0
27,23440,163564,684,25,1,11.24,12,0.16,High School,Self-employed,Single,No,No,Home,Yes,0
65,95235,40992,756,94,3,19.29,12,0.29,PhD,Unemployed,Divorced,No,Yes,Other,Yes,0
56,36143,121878,319,8,3,17.99,36,0.28,Master's,Unemployed,Divorced,No,No,Other,No,1
36,27312,136879,532,35,3,9.25,36,0.62,Master's,Unemployed,Single,No,No,Home,Yes,0
27,39480,97226,303,55,2,13.69,60,0.14,Master's,Unemployed,Divorced,Yes,No,Auto,No,1
25,101750,202066,829,70,3,6.81,60,0.84,High School,Full-time,Married,No,No,Home,Yes,0
61,66219,156383,627,48,2,9.58,36,0.28,Master's,Unemployed,Single,No,No,Education,No,0
19,52282,182978,547,6,2,5.88,48,0.62,PhD,Self-employed,Single,No,No,Auto,Yes,0
27,56608,127297,601,1,1,23.28,24,0.82,PhD,Unemployed,Single,Yes,No,Home,No,0
32,28825,148953,580,104,1,16.42,60,0.7,PhD,Full-time,Married,No,Yes,Home,No,0
58,51691,113655,571,9,2,8.27,12,0.57,Master's,Self-employed,Single,Yes,Yes,Education,Yes,0
20,96687,213234,315,9,1,24.85,48,0.76,PhD,Unemployed,Married,Yes,Yes,Auto,Yes,1
33,49781,161987,324,107,2,6.62,12,0.26,Master's,Part-time,Married,Yes,Yes,Business,No,0
22,70956,84764,828,84,3,20.38,48,0.26,High School,Self-employed,Single,Yes,No,Education,No,1
56,37392,128622,640,118,2,11.05,24,0.21,Bachelor's,Self-employed,Single,No,No,Auto,No,0
29,104353,97499,743,3,1,21.56,60,0.51,High School,Self-employed,Married,Yes,No,Education,Yes,1
37,124050,16377,346,59,4,4.4,36,0.16,Bachelor's,Unemployed,Married,Yes,No,Auto,No,0
41,34623,168057,342,41,3,16.73,24,0.78,Bachelor's,Full-time,Married,Yes,No,Education,No,1
26,106716,155838,586,15,3,10.55,60,0.19,High School,Part-time,Married,No,No,Auto,No,0
33,103318,160579,373,40,2,10.65,12,0.67,Bachelor's,Unemployed,Single,No,No,Home,Yes,0
44,44073,174552,553,10,4,3.59,24,0.37,High School,Part-time,Divorced,No,No,Other,No,0
27,118841,45354,570,8,4,19.74,12,0.87,Bachelor's,Unemployed,Divorced,No,No,Business,No,1
63,98188,236513,392,22,3,13.26,24,0.75,Master's,Full-time,Single,No,Yes,Business,No,0
25,72223,227169,631,93,3,24.75,24,0.73,Bachelor's,Self-employed,Married,No,No,Business,No,0
53,83613,141185,624,18,3,2.08,36,0.37,Bachelor's,Part-time,Single,Yes,Yes,Business,Yes,0
28,141820,17848,324,62,2,15.92,12,0.57,High School,Unemployed,Single,No,Yes,Education,No,1
38,40846,17535,363,90,1,8.82,60,0.3,Master's,Unemployed,Divorced,No,No,Education,Yes,0
21,144251,93653,547,26,2,17.93,24,0.13,PhD,Self-employed,Single,No,Yes,Other,No,1
63,125452,26967,673,58,1,23.0,12,0.29,High School,Unemployed,Married,No,No,Other,Yes,0
45,108509,167999,713,47,3,15.54,48,0.43,Bachelor's,Full-time,Divorced,No,No,Auto,No,0
21,115805,12810,392,46,1,17.85,24,0.52,Master's,Self-employed,Divorced,No,Yes,Other,No,0
26,108945,33614,617,59,2,14.11,60,0.86,High School,Unemployed,Divorced,No,No,Auto,Yes,0
31,22122,39176,411,8,4,7.77,48,0.63,High School,Unemployed,Married,Yes,No,Education,No,0
41,128122,190224,589,4,1,16.31,36,0.37,PhD,Self-employed,Married,No,Yes,Education,Yes,0
50,132963,165333,588,67,1,6.13,12,0.56,Master's,Unemployed,Single,No,Yes,Business,No,0
18,137195,235369,396,99,1,19.56,60,0.75,Bachelor's,Self-employed,Married,No,Yes,Business,No,1
18,39231,105268,830,74,3,5.03,48,0.85,High School,Full-time,Single,Yes,No,Home,Yes,0
58,42130,105220,411,77,3,8.99,12,0.37,Bachelor's,Full-time,Married,No,Yes,Home,No,0
26,67040,210312,409,72,4,5.58,60,0.54,Bachelor's,Self-employed,Divorced,Yes,No,Home,Yes,1
66,73277,145733,565,42,2,9.74,24,0.51,Bachelor's,Unemployed,Single,Yes,Yes,Auto,No,0
58,111152,12191,327,30,2,7.26,24,0.8,PhD,Part-time,Divorced,Yes,Yes,Education,No,1
27,145504,98626,659,72,3,23.82,36,0.68,Master's,Unemployed,Single,Yes,Yes,Education,Yes,0
63,18302,68068,836,80,3,10.59,24,0.57,PhD,Full-time,Divorced,Yes,No,Other,Yes,0
63,29978,169333,695,114,3,15.16,48,0.23,Bachelor's,Part-time,Married,Yes,Yes,Education,Yes,0
20,77719,233156,446,107,1,20.04,12,0.47,High School,Unemployed,Married,Yes,No,Other,No,0
58,139757,71671,483,10,2,24.17,24,0.23,High School,Full-time,Single,No,Yes,Business,Yes,0
21,116760,144312,776,114,4,15.9,24,0.32,PhD,Full-time,Single,No,No,Auto,Yes,0
64,94152,229242,566,79,3,9.93,60,0.42,PhD,Unemployed,Single,Yes,No,Business,No,0
41,24292,14159,620,25,3,13.7,36,0.65,High School,Part-time,Single,No,No,Business,No,1
62,126126,212609,460,5,4,7.0,48,0.59,Bachelor's,Unemployed,Single,No,Yes,Business,No,1
22,100893,40343,819,22,2,3.9,60,0.57,PhD,Self-employed,Single,Yes,No,Auto,Yes,1
41,76535,85141,744,70,3,15.43,12,0.69,Master's,Part-time,Divorced,Yes,Yes,Other,No,1
60,128680,183017,444,11,2,24.55,24,0.88,Master's,Part-time,Single,Yes,Yes,Auto,Yes,1
69,65289,65467,422,45,3,16.82,48,0.74,Master's,Self-employed,Single,Yes,Yes,Auto,Yes,0
68,132614,124918,325,111,2,23.17,60,0.2,High School,Self-employed,Single,Yes,No,Other,No,0
66,39338,132417,840,110,3,9.01,48,0.61,Master's,Self-employed,Divorced,No,Yes,Business,No,0
21,54703,187806,738,99,4,7.32,60,0.87,PhD,Full-time,Married,Yes,No,Business,No,1
39,65758,205776,723,14,3,18.06,60,0.37,Bachelor's,Part-time,Divorced,No,No,Business,No,1
62,133606,76628,365,36,2,8.68,60,0.57,High School,Part-time,Single,Yes,No,Education,No,1
46,52525,48975,663,52,4,13.8,24,0.53,Master's,Part-time,Married,No,Yes,Education,Yes,1
58,123877,211738,797,119,3,12.86,48,0.27,PhD,Part-time,Divorced,Yes,No,Other,No,0
40,25886,127175,499,15,4,19.61,24,0.69,Master's,Unemployed,Married,Yes,Yes,Other,No,0
30,117601,20278,811,91,4,4.52,48,0.83,PhD,Full-time,Single,Yes,Yes,Business,Yes,0
54,37387,239689,814,32,1,7.45,24,0.32,Bachelor's,Full-time,Married,No,No,Education,Yes,1
69,98085,58066,515,22,2,7.92,24,0.63,PhD,Part-time,Married,No,Yes,Auto,No,0
26,125919,137168,540,116,3,24.06,60,0.34,Master's,Unemployed,Single,No,No,Business,No,0
59,76341,216462,764,55,1,2.74,48,0.73,High School,Self-employed,Single,Yes,No,Business,Yes,0
43,116519,173612,628,117,3,11.84,24,0.29,High School,Part-time,Married,Yes,No,Business,Yes,1
32,41740,161805,704,9,1,19.74,24,0.8,Master's,Part-time,Married,Yes,Yes,Education,No,1
31,107577,121089,385,81,2,14.86,24,0.84,Bachelor's,Full-time,Divorced,Yes,No,Business,Yes,0
45,21665,160727,828,119,1,13.07,48,0.69,Master's,Part-time,Married,No,No,Home,Yes,0
63,129566,72240,670,74,4,19.7,48,0.6,PhD,Self-employed,Married,Yes,Yes,Other,Yes,0
64,21124,162936,601,107,2,16.22,24,0.29,Master's,Unemployed,Divorced,Yes,Yes,Business,Yes,0
54,98366,53282,801,41,4,8.9,60,0.69,Bachelor's,Full-time,Single,Yes,No,Home,No,0
21,106891,81421,578,86,2,11.81,24,0.65,Bachelor's,Self-employed,Divorced,Yes,Yes,Auto,No,1
65,38961,228675,544,46,1,14.22,36,0.52,PhD,Unemployed,Married,No,No,Other,Yes,0
34,134620,45427,316,66,4,4.05,24,0.78,High School,Full-time,Married,Yes,No,Home,Yes,1
19,81532,200082,578,49,2,9.06,12,0.9,PhD,Part-time,Single,Yes,No,Other,No,0
24,76639,246925,795,48,3,19.14,60,0.8,Master's,Part-time,Single,Yes,No,Business,No,0
27,31899,146267,704,10,3,5.64,48,0.69,Master's,Self-employed,Single,Yes,No,Other,No,0
26,32927,202345,702,99,2,16.11,12,0.22,Master's,Part-time,Single,Yes,No,Home,No,1
40,132958,114479,435,96,1,2.2,60,0.21,Master's,Self-employed,Married,Yes,Yes,Home,No,0
28,47507,51689,393,29,4,18.9,60,0.13,High School,Unemployed,Married,No,No,Auto,No,1
29,51806,74057,405,0,1,5.56,36,0.3,Bachelor's,Full-time,Divorced,Yes,Yes,Other,Yes,0
45,147586,182284,689,74,3,2.23,12,0.49,PhD,Unemployed,Married,No,No,Business,Yes,0
57,143280,188061,723,81,1,9.98,12,0.34,High School,Part-time,Divorced,Yes,Yes,Education,No,0
68,32384,145015,788,43,2,11.15,48,0.2,Master's,Unemployed,Divorced,Yes,No,Business,Yes,0
18,82509,178016,829,5,1,11.84,36,0.61,PhD,Self-employed,Single,Yes,No,Home,No,0
66,34811,105799,443,48,1,15.71,36,0.79,Bachelor's,Full-time,Divorced,Yes,Yes,Other,Yes,1
47,115708,236544,390,20,4,23.26,36,0.39,PhD,Self-employed,Single,No,No,Other,Yes,0
35,61655,114687,632,43,2,20.54,36,0.43,PhD,Self-employed,Divorced,Yes,No,Education,No,0
55,94987,147856,354,69,1,24.59,48,0.12,Bachelor's,Unemployed,Married,No,Yes,Auto,No,0
23,20168,249797,558,96,4,16.1,60,0.79,High School,Part-time,Married,Yes,Yes,Auto,No,0
50,112256,142163,498,54,3,8.67,36,0.59,Master's,Unemployed,Married,No,Yes,Business,Yes,0
42,31679,235107,699,51,2,24.69,12,0.66,PhD,Unemployed,Single,No,No,Education,Yes,1
46,20404,234653,678,102,3,18.54,12,0.29,Master's,Self-employed,Married,Yes,No,Education,No,1
51,78988,59106,300,114,1,15.2,12,0.59,Bachelor's,Unemployed,Single,Yes,No,Education,No,0
44,82556,135762,649,117,1,24.03,12,0.87,Bachelor's,Self-employed,Married,No,No,Home,Yes,0
25,53839,131365,701,93,2,7.19,60,0.49,High School,Unemployed,Single,Yes,No,Business,No,0
47,44370,223217,680,76,4,22.35,12,0.85,Bachelor's,Self-employed,Married,No,No,Other,No,1
69,61373,110267,821,4,3,3.28,12,0.26,PhD,Part-time,Married,No,Yes,Home,No,0
19,46574,158014,812,119,4,15.12,12,0.62,Master's,Self-employed,Single,No,No,Education,No,1
